Sample,I,Q
0,2812,-6680
1,2776,-6692
2,2784,-6704
3,2828,-6616
4,2800,-6728
5,2880,-6620
6,2832,-6660
7,2860,-6672
8,2840,-6624
9,2884,-6664
10,2884,-6624
11,2888,-6664
12,2920,-6612
13,2872,-6676
14,2900,-6604
15,2900,-6668
16,2908,-6624
17,2920,-6620
18,2904,-6656
19,2916,-6604
20,2936,-6656
21,2960,-6580
22,2948,-6632
23,2928,-6612
24,2960,-6616
25,2972,-6588
26,2956,-6616
27,2952,-6624
28,2968,-6592
29,2972,-6616
30,2980,-6584
31,2992,-6596
32,2992,-6584
33,2968,-6616
34,2964,-6596
35,2984,-6596
36,2976,-6612
37,2972,-6580
38,2988,-6608
39,3004,-6604
40,2984,-6552
41,3012,-6616
42,3012,-6564
43,2988,-6584
44,3008,-6608
45,2976,-6560
46,3024,-6612
47,3020,-6560
48,3004,-6548
49,3036,-6608
50,3024,-6564
51,3024,-6556
52,3044,-6572
53,3044,-6552
54,3028,-6576
55,3060,-6572
56,3024,-6564
57,3052,-6556
58,3072,-6580
59,3028,-6516
60,3088,-6556
61,3076,-6556
62,3068,-6524
63,3092,-6556
64,3084,-6528
65,3120,-6524
66,3092,-6516
67,3116,-6540
68,3100,-6508
69,3112,-6516
70,3140,-6512
71,3148,-6524
72,3140,-6500
73,3100,-6524
74,3124,-6536
75,3132,-6520
76,3112,-6492
77,3136,-6536
78,3120,-6500
79,3132,-6496
80,3176,-6516
81,3168,-6484
82,3188,-6520
83,3164,-6480
84,3192,-6480
85,3188,-6500
86,3180,-6456
87,3200,-6532
88,3164,-6476
89,3184,-6500
90,3172,-6516
91,3192,-6472
92,3228,-6492
93,3228,-6464
94,3220,-6476
95,3248,-6452
96,3236,-6472
97,3228,-6436
98,3232,-6456
99,3244,-6480
100,3228,-6444
101,3252,-6468
102,3244,-6468
103,3232,-6444
104,3256,-6488
105,3216,-6444
106,3248,-6464
107,3260,-6460
108,3256,-6448
109,3216,-6472
110,3224,-6432
111,3216,-6504
112,3196,-6464
113,3196,-6488
114,3192,-6492
115,3244,-6464
116,3212,-6476
117,3216,-6472
118,3208,-6488
119,3196,-6464
120,3216,-6488
121,3216,-6472
122,3200,-6496
123,3192,-6484
124,3244,-6452
125,3212,-6480
126,3256,-6468
127,3244,-6468
128,3256,-6440
129,3288,-6484
130,3240,-6444
131,3300,-6436
132,3292,-6468
133,3312,-6408
134,3332,-6416
135,3304,-6440
136,3320,-6416
137,3320,-6436
138,3296,-6428
139,3336,-6408
